Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.092585   168.835582
1.102585   168.115369
1.112585   172.129692
1.122585   172.981655
1.132585   172.979751
1.142585   173.052271
1.152585   172.620076
1.162585   172.084514
1.172585   172.701339
1.182585   171.383848
1.192585   171.009588
1.202585   170.736724
1.212585   170.258917
1.222585   170.336423
1.232585   170.438617
1.242585   169.858365
1.252585   169.556328
1.262585   169.340547
1.272585   168.730204
1.282585   168.002038
1.292585   167.713403
1.302585   167.873012
1.312585   167.405584
1.322585   166.861055
1.332585   166.820332
1.342585   167.268917
1.352585   167.762543
1.362585   169.214867
1.372585   171.994748
1.382585   176.301659
1.392585   183.199137
1.402585   183.786476
1.412585   186.118311
1.422585   186.615269
1.432585   185.426555
1.442585   179.078315
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
