Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.460975   167.408270
1.470975   162.990265
1.480975   162.607806
1.490975   162.853301
1.500975   163.736272
1.510975   164.016205
1.520975   164.160359
1.530975   164.713147
1.540975   166.163550
1.550975   165.134740
1.560975   164.686322
1.570975   163.952568
1.580975   164.040619
1.590975   164.139173
1.600975   163.993879
1.610975   164.085093
1.620975   163.919932
1.630975   163.769223
1.640975   163.511827
1.650975   163.311842
1.660975   163.121499
1.670975   162.133376
1.680975   161.970000
1.690975   161.835735
1.700975   161.725673
1.710975   161.850544
1.720975   161.461973
1.730975   161.453582
1.740975   160.963767
1.750975   160.778905
1.760975   160.328858
1.770975   160.422773
1.780975   160.274201
1.790975   160.045322
1.800975   159.834662
1.810975   160.212715
1.820975   161.872856
1.830975   162.553816
1.840975   162.411266
1.850975   160.312159
1.860975   159.758281
1.870975   160.987523
1.880975   158.960491
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
