Time_s   F0_Hz
--undefined--   --undefined--
0.602834   214.293825
0.612834   215.647587
0.622834   88.164092
0.632834   84.372649
0.642834   83.575483
0.652834   82.531983
0.662834   162.940113
0.672834   160.186349
0.682834   156.968415
0.692834   154.110308
0.702834   154.461657
0.712834   154.891628
0.722834   155.530578
0.732834   157.234745
0.742834   158.485754
0.752834   160.924998
0.762834   162.552571
0.772834   163.763086
0.782834   164.609699
0.792834   165.420694
0.802834   166.222246
0.812834   166.213431
0.822834   166.047531
0.832834   166.090535
0.842834   165.408661
0.852834   165.479902
0.862834   165.258644
0.872834   164.642288
0.882834   164.118723
0.892834   163.433161
0.902834   161.420958
0.912834   161.287661
0.922834   161.854694
0.932834   161.488410
0.942834   161.925777
0.952834   162.410506
0.962834   162.049137
0.972834   162.243456
0.982834   162.780763
0.992834   163.373290
1.002834   163.105111
1.012834   163.055166
1.022834   162.722878
1.032834   162.293079
1.042834   162.746614
1.052834   163.169121
1.062834   162.760106
1.072834   162.244655
1.082834   161.555304
1.092834   159.592551
1.102834   158.275771
1.112834   163.585681
1.122834   165.765881
1.132834   159.043279
1.142834   154.507553
1.152834   160.678203
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
