Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.632993   169.182079
0.642993   171.929257
0.652993   171.627891
0.662993   169.125708
0.672993   167.627758
0.682993   166.782786
0.692993   166.094041
0.702993   166.028598
0.712993   166.137176
0.722993   166.204460
0.732993   166.262452
0.742993   166.059000
0.752993   166.860402
0.762993   167.600758
0.772993   167.609835
0.782993   167.840485
0.792993   168.017907
0.802993   168.345818
0.812993   168.612145
0.822993   168.562561
0.832993   168.176288
0.842993   167.852509
0.852993   167.112643
0.862993   166.550504
0.872993   166.081313
0.882993   165.579996
0.892993   165.297039
0.902993   165.467723
0.912993   166.095621
0.922993   167.651175
0.932993   169.630643
0.942993   172.417397
0.952993   177.202571
0.962993   184.751810
0.972993   185.667899
0.982993   185.625804
0.992993   181.610084
1.002993   181.565231
1.012993   180.932952
1.022993   181.038239
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
