Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.873719   124.480049
0.883719   120.260968
0.893719   118.156525
0.903719   115.761163
0.913719   114.246621
0.923719   113.392478
0.933719   112.878262
0.943719   111.842212
0.953719   111.892660
0.963719   113.297912
0.973719   114.333654
0.983719   114.978987
0.993719   115.506435
1.003719   116.860341
1.013719   118.046630
1.023719   119.647107
1.033719   122.879144
1.043719   126.086133
1.053719   128.574129
1.063719   130.570491
1.073719   135.766235
1.083719   142.212552
1.093719   146.470826
1.103719   152.509056
1.113719   159.752660
1.123719   172.493137
1.133719   172.451062
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
