Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.913810   181.998193
0.923810   173.141652
0.933810   157.833322
0.943810   154.350818
0.953810   152.583935
0.963810   151.069323
0.973810   150.182952
0.983810   149.276168
0.993810   148.011017
1.003810   146.697543
1.013810   146.390075
1.023810   147.403978
1.033810   148.917921
1.043810   150.747023
1.053810   152.217753
1.063810   153.923447
1.073810   156.000940
1.083810   157.538412
1.093810   158.024988
1.103810   159.140596
1.113810   160.909125
1.123810   162.457239
1.133810   168.268073
1.143810   160.229501
1.153810   156.651172
1.163810   153.773050
1.173810   151.912709
1.183810   154.429534
1.193810   158.661854
1.203810   157.506088
1.213810   155.019332
1.223810   150.027525
1.233810   154.637509
1.243810   157.240814
1.253810   156.785518
1.263810   155.120846
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
