Time_s   F0_Hz
--undefined--   --undefined--
0.573617   360.407970
0.583617   364.450007
0.593617   367.446034
0.603617   369.778473
0.613617   351.992766
0.623617   351.669562
0.633617   353.632597
0.643617   364.393425
0.653617   360.183001
0.663617   349.385819
0.673617   349.399655
--undefined--   --undefined--
--undefined--   --undefined--
0.703617   227.122399
0.713617   225.498870
0.723617   225.965410
--undefined--   --undefined--
--undefined--   --undefined--
0.753617   163.055984
0.763617   169.421839
0.773617   174.771504
0.783617   175.452043
0.793617   175.106111
0.803617   175.728992
0.813617   175.944195
0.823617   175.721166
0.833617   174.850974
0.843617   174.490096
0.853617   174.075267
0.863617   173.726332
0.873617   173.186492
0.883617   172.245403
0.893617   171.426742
0.903617   170.509513
0.913617   169.866603
0.923617   169.428254
0.933617   168.983266
0.943617   169.511840
0.953617   170.000095
0.963617   170.595528
0.973617   170.837138
0.983617   170.947298
0.993617   171.663389
1.003617   172.509566
1.013617   173.264027
1.023617   173.810239
1.033617   174.689240
1.043617   175.702289
1.053617   176.380294
1.063617   177.145308
1.073617   176.362238
1.083617   173.848895
1.093617   170.838047
1.103617   170.290107
1.113617   173.811256
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
