Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.250771   102.532215
1.260771   100.156426
1.270771   99.048096
1.280771   98.518007
1.290771   98.019293
1.300771   97.401330
1.310771   96.041484
1.320771   96.968213
1.330771   97.525448
1.340771   97.405697
1.350771   98.270225
1.360771   98.472663
1.370771   98.282890
1.380771   100.134110
1.390771   100.195720
1.400771   100.225781
1.410771   99.849828
1.420771   100.063100
1.430771   106.871257
1.440771   109.216761
1.450771   110.232052
1.460771   112.857208
1.470771   115.731634
1.480771   117.543145
1.490771   120.371704
1.500771   122.214979
1.510771   123.051084
1.520771   123.690335
1.530771   124.103219
1.540771   127.092515
1.550771   129.240790
1.560771   129.587158
1.570771   129.929758
1.580771   130.296552
1.590771   131.026568
1.600771   133.731632
1.610771   138.160395
1.620771   143.793146
1.630771   151.627664
1.640771   170.343693
1.650771   180.643943
1.660771   205.197284
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
