Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.362993   104.353788
1.372993   101.039623
1.382993   100.017886
1.392993   99.226340
1.402993   99.100796
1.412993   98.971786
1.422993   98.276243
1.432993   99.242754
1.442993   102.153251
1.452993   102.356342
1.462993   102.252407
1.472993   102.398438
1.482993   102.597341
1.492993   102.811743
1.502993   102.214253
1.512993   100.408078
1.522993   100.010482
1.532993   101.170926
1.542993   101.647237
1.552993   101.727847
1.562993   102.752861
1.572993   104.137062
1.582993   103.702011
1.592993   105.336443
1.602993   106.585848
1.612993   106.763488
1.622993   107.450287
1.632993   109.313468
1.642993   110.219210
1.652993   110.583535
1.662993   111.462273
1.672993   112.447950
1.682993   113.147287
1.692993   115.529538
1.702993   116.677689
1.712993   117.951213
1.722993   123.594110
1.732993   127.337414
1.742993   132.456830
1.752993   136.026830
1.762993   140.307957
1.772993   146.083332
1.782993   149.604448
1.792993   152.371355
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
