Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.910431   105.805986
0.920431   104.094284
0.930431   102.625618
0.940431   100.714569
0.950431   99.561006
0.960431   99.173393
0.970431   99.674440
0.980431   100.644587
0.990431   100.669250
1.000431   100.532295
1.010431   101.007147
1.020431   102.243186
1.030431   101.901425
1.040431   101.663735
1.050431   102.722704
1.060431   104.468776
1.070431   105.289045
1.080431   106.533570
1.090431   108.945296
1.100431   110.022653
1.110431   111.868331
1.120431   113.436373
1.130431   116.462339
1.140431   119.268500
1.150431   121.526074
1.160431   123.901534
1.170431   125.278028
1.180431   125.851980
1.190431   129.824673
1.200431   134.342031
1.210431   138.633626
1.220431   147.305850
1.230431   153.665657
1.240431   174.216178
1.250431   178.611801
1.260431   218.826456
1.270431   219.847559
1.280431   220.407116
1.290431   241.641343
1.300431   254.513074
1.310431   288.114162
1.320431   285.413984
1.330431   243.502334
--undefined--   --undefined--
--undefined--   --undefined--
1.360431   213.514270
1.370431   228.980416
--undefined--   --undefined--
--undefined--   --undefined--
