Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
0.931655   107.754459
0.941655   105.410345
0.951655   103.914985
0.961655   103.452187
0.971655   104.261164
0.981655   104.283770
0.991655   105.364355
1.001655   106.908328
1.011655   110.137045
1.021655   110.719202
1.031655   111.702210
1.041655   113.456360
1.051655   113.705956
1.061655   114.600436
1.071655   116.352701
1.081655   117.733256
1.091655   120.390353
1.101655   122.282861
1.111655   123.345635
1.121655   124.220990
1.131655   125.781704
1.141655   127.699204
1.151655   129.845702
1.161655   130.682176
1.171655   131.499224
1.181655   132.545496
1.191655   135.147508
1.201655   136.898568
1.211655   138.024323
1.221655   140.954604
1.231655   143.234786
1.241655   146.448497
1.251655   150.901528
1.261655   153.797164
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
