Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.249127   113.093944
1.259127   110.212301
1.269127   110.176181
1.279127   109.034882
1.289127   107.384154
1.299127   107.468034
1.309127   107.765209
1.319127   105.721078
1.329127   105.927655
1.339127   106.894473
1.349127   106.573414
1.359127   107.121765
1.369127   106.072182
1.379127   106.685245
1.389127   106.578808
1.399127   107.406465
1.409127   108.486202
1.419127   109.771932
1.429127   110.567089
1.439127   110.817377
1.449127   112.916452
1.459127   113.298258
1.469127   113.892591
1.479127   114.886484
1.489127   116.125683
1.499127   115.589812
1.509127   117.591029
1.519127   118.551451
1.529127   118.572067
1.539127   118.947293
1.549127   119.107450
1.559127   118.914361
1.569127   119.840973
1.579127   120.331602
1.589127   121.124259
1.599127   121.693382
1.609127   122.063317
1.619127   122.311621
1.629127   123.050347
1.639127   124.396667
1.649127   125.073987
1.659127   126.740467
1.669127   128.523942
1.679127   131.447737
1.689127   129.333760
1.699127   125.307573
1.709127   122.514238
1.719127   122.204861
1.729127   124.057053
1.739127   123.291276
1.749127   122.244258
1.759127   123.280547
1.769127   123.680292
1.779127   126.227334
1.789127   126.444704
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
