Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
1.126111   114.946600
1.136111   111.190157
1.146111   108.512303
1.156111   107.263736
1.166111   106.004306
1.176111   105.619235
1.186111   105.907127
1.196111   106.018054
1.206111   106.178232
1.216111   106.560584
1.226111   106.887840
1.236111   107.170763
1.246111   107.862155
1.256111   107.438027
1.266111   109.844735
1.276111   110.020521
1.286111   109.211833
1.296111   111.071592
1.306111   111.249395
1.316111   112.372140
1.326111   113.757826
1.336111   115.527334
1.346111   117.173604
1.356111   118.483229
1.366111   118.812908
1.376111   119.732425
1.386111   121.226327
1.396111   122.606460
1.406111   124.487424
1.416111   127.415217
1.426111   129.927708
1.436111   133.045001
1.446111   135.835477
1.456111   138.836963
1.466111   143.310019
1.476111   146.749685
1.486111   144.907849
1.496111   142.138854
1.506111   84.551413
1.516111   83.983416
1.526111   83.685919
1.536111   81.254955
1.546111   84.026819
1.556111   84.888494
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
