Time_s   F0_Hz
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
1.024819   98.606332
1.034819   98.614356
1.044819   100.537352
1.054819   102.536860
1.064819   104.049374
1.074819   104.444523
1.084819   101.172541
1.094819   102.840747
1.104819   104.184782
1.114819   101.508574
1.124819   101.955390
1.134819   102.415559
1.144819   102.654629
1.154819   102.618536
1.164819   102.240202
1.174819   102.000268
1.184819   101.074438
1.194819   101.613228
1.204819   100.403252
1.214819   100.066553
1.224819   99.949897
1.234819   99.543897
1.244819   99.974862
1.254819   100.747041
1.264819   101.218018
1.274819   101.874674
1.284819   103.682822
1.294819   105.303038
1.304819   106.418240
1.314819   108.306643
1.324819   109.930986
1.334819   111.266666
1.344819   113.759478
1.354819   114.323942
1.364819   114.903018
1.374819   115.869213
1.384819   116.836028
1.394819   120.833952
1.404819   123.884416
1.414819   126.526958
1.424819   130.163175
1.434819   134.726319
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
